County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Autauga, Alabama,"44,120","10,561",602,809,85
Baldwin, Alabama,"169,193","19,267","2,861","2,188",256
Barbour, Alabama,"13,950","13,058",260,157,57
Bibb, Alabama,"17,501","5,091",177,62,44
Blount, Alabama,"56,217","1,205",759,222,83
Bullock, Alabama,"3,028","7,434",131,48,86
Butler, Alabama,"11,258","8,911",131,221,14
Calhoun, Alabama,"90,996","25,446","1,315","1,359",239
Chambers, Alabama,"20,514","13,467",215,239,34
Cherokee, Alabama,"24,636","1,348",338,103,20
Chilton, Alabama,"38,848","4,701",403,249,110
Choctaw, Alabama,"7,677","5,884",51,39,4
Clarke, Alabama,"13,895","11,173",181,148,20
Clay, Alabama,"11,413","2,049",158,60,9
Cleburne, Alabama,"14,237",645,112,49,14
Coffee, Alabama,"40,560","9,414","1,297","1,102",285
Colbert, Alabama,"44,871","9,348",688,349,50
Conecuh, Alabama,"6,891","6,113",123,42,14
Coosa, Alabama,"7,507","3,432",127,41,28
Covington, Alabama,"32,643","5,063",483,231,16
Crenshaw, Alabama,"10,297","3,493",154,245,17
Cullman, Alabama,"78,437","1,307","1,060",506,56
Dale, Alabama,"39,307","10,509",953,980,137
Dallas, Alabama,"12,703","29,841",195,254,31
De Kalb, Alabama,"67,123","1,724","2,654",401,615
Elmore, Alabama,"62,401","17,462",822,849,141
Escambia, Alabama,"24,359","12,513","1,591",182,42
Etowah, Alabama,"86,448","16,814","1,262",966,365
Fayette, Alabama,"14,887","2,098",129,66,5
Franklin, Alabama,"29,738","1,537",686,139,46
Geneva, Alabama,"23,930","2,867",425,148,26
Greene, Alabama,"1,674","7,166",36,22,1
Hale, Alabama,"6,376","8,998",72,59,6
Henry, Alabama,"12,256","4,936",122,144,10
Houston, Alabama,"74,433","28,075","1,205","1,252",173
Jackson, Alabama,"50,058","2,129","1,809",336,85
Jefferson, Alabama,"364,592","283,767","5,035","11,725",644
Lamar, Alabama,"12,601","1,707",108,36,6
Lauderdale, Alabama,"81,878","10,151",971,937,75
Lawrence, Alabama,"27,793","4,117","3,163",147,28
Lee, Alabama,"108,193","35,262","1,252","5,100",261
Limestone, Alabama,"73,800","12,149","1,521","1,427",210
Lowndes, Alabama,"2,853","7,967",59,36,3
Macon, Alabama,"3,686","16,686",148,120,23
Madison, Alabama,"246,136","87,431","6,084","10,984",775
Marengo, Alabama,"9,832","10,493",106,71,40
Marion, Alabama,"29,056","1,405",284,110,27
Marshall, Alabama,"90,345","2,656","1,845",796,302
Mobile, Alabama,"255,376","148,290","6,526","9,282",497
Monroe, Alabama,"12,887","9,501",432,125,22
Montgomery, Alabama,"94,271","129,951","1,753","6,120",435
Morgan, Alabama,"102,895","15,805","2,425","1,116",221
Perry, Alabama,"3,194","6,965",45,45,6
Pickens, Alabama,"11,188","8,095",80,70,74
Pike, Alabama,"19,897","12,455",431,788,64
Randolph, Alabama,"18,034","4,647",203,109,21
Russell, Alabama,"32,425","24,953",755,731,238
St. Clair, Alabama,"76,459","8,128",831,786,99
Shelby, Alabama,"172,563","24,251","1,696","4,973",239
Sumter, Alabama,"3,433","9,931",45,54,8
Talladega, Alabama,"54,658","26,795",799,528,83
Tallapoosa, Alabama,"29,728","11,274",348,274,39
Tuscaloosa, Alabama,"134,864","61,226","1,379","3,249",255
Walker, Alabama,"61,473","4,452",703,322,88
Washington, Alabama,"11,574","4,233","1,444",60,26
Wilcox, Alabama,"3,197","8,210",42,23,6
Winston, Alabama,"23,630",289,388,100,63
Aleutians East, Alaska,866,263,794,"1,306",33
Aleutians West, Alaska,"2,483",438,928,"1,801",189
Anchorage, Alaska,"219,882","24,835","37,673","32,687","8,835"
Bethel, Alaska,"2,780",208,"15,068",262,84
Bristol Bay, Alaska,628,24,460,39,12
Denali, Alaska,"1,744",32,129,36,4
Dillingham, Alaska,"1,361",54,"3,902",87,29
Fairbanks North Star, Alaska,"83,790","6,765","11,081","4,613",838
Haines, Alaska,"2,287",35,379,50,5
Hoonah-Angoon, Alaska,"1,254",29,"1,021",48,10
Juneau, Alaska,"25,468",767,"6,196","2,903",500
Kenai Peninsula, Alaska,"51,217",727,"6,612","1,280",330
Ketchikan Gateway, Alaska,"10,507",232,"2,983","1,256",108
Kodiak Island, Alaska,"9,005",297,"2,605","3,072",199
Lake and Peninsula, Alaska,537,32,"1,185",33,11
Matanuska-Susitna, Alaska,"85,268","2,017","9,994","2,550",727
Nome, Alaska,"2,319",89,"7,842",193,32
North Slope, Alaska,"3,718",198,"5,510",576,189
Northwest Arctic, Alaska,"1,352",102,"6,604",106,30
Wrangell-Petersburg, Alaska,"2,991",65,903,165,28
Prince of Wales-Outer Ketchikan, Alaska,"3,326",77,"2,700",120,56
Sitka, Alaska,"6,787",172,"2,167",734,92
Skagway, Alaska,929,8,73,16,3
Southeast Fairbanks, Alaska,"6,074",144,"1,082",144,55
Valdez-Cordova, Alaska,"7,801",144,"1,905",492,101
Wade Hampton, Alaska,488,39,"7,397",52,10
Wrangell, Alaska,"1,943",40,559,70,12
Yakutat, Alaska,357,27,308,56,14
Yukon-Koyukuk, Alaska,"1,601",60,"4,335",52,22
Apache, Arizona,"18,217",929,"54,401",486,124
Cochise, Arizona,"119,515","7,645","3,804","4,296",914
Coconino, Arizona,"93,396","2,917","39,481","3,343",622
Gila, Arizona,"43,844",531,"8,940",458,101
Graham, Arizona,"30,628",957,"5,566",365,155
Greenlee, Arizona,"8,264",184,388,95,21
La Paz, Arizona,"16,384",340,"3,875",218,53
Maricopa, Arizona,"3,440,628","262,061","137,608","193,315","18,847"
Mohave, Arizona,"191,650","3,492","8,159","3,498",813
Navajo, Arizona,"57,035","1,785","49,021",980,226
Pima, Arizona,"876,942","49,157","52,581","38,990","3,951"
Pinal, Arizona,"331,596","22,901","31,385","10,013","2,693"
Santa Cruz, Arizona,"45,873",471,742,378,66
Yavapai, Arizona,"203,817","2,626","6,986","3,136",663
Yuma, Arizona,"188,123","6,550","6,187","4,376",906
Arkansas, Arkansas,"14,037","4,866",157,166,8
Ashley, Arkansas,"15,730","5,665",282,83,27
Baxter, Arkansas,"40,402",203,702,297,35
Benton, Arkansas,"215,279","5,204","7,556","8,965","1,121"
Boone, Arkansas,"36,674",267,786,230,36
Bradley, Arkansas,"7,962","3,180",306,63,6
Calhoun, Arkansas,"4,121","1,192",58,23,4
Carroll, Arkansas,"26,797",302,710,260,102
Chicot, Arkansas,"5,050","6,335",83,66,8
Clark, Arkansas,"17,039","5,615",267,194,21
Clay, Arkansas,"15,410",139,167,52,9
Cleburne, Arkansas,"25,410",201,458,89,18
Cleveland, Arkansas,"7,566","1,082",64,16,7
Columbia, Arkansas,"15,194","9,019",213,226,17
Conway, Arkansas,"18,543","2,571",400,150,19
Craighead, Arkansas,"84,359","14,651","1,093","1,347",115
Crawford, Arkansas,"58,403","1,340","2,645","1,189",74
Crittenden, Arkansas,"23,822","26,035",380,441,55
Cross, Arkansas,"13,479","4,149",138,116,15
Dallas, Arkansas,"4,556","3,416",82,24,7
Desha, Arkansas,"6,355","6,147",99,67,20
Drew, Arkansas,"13,251","5,425",145,156,13
Faulkner, Arkansas,"103,301","13,740","1,752","1,969",289
Franklin, Arkansas,"17,427",241,389,201,30
Fulton, Arkansas,"12,093",118,216,59,7
Garland, Arkansas,"87,194","9,003","1,632","1,095",140
Grant, Arkansas,"17,384",524,208,106,19
Greene, Arkansas,"42,457",535,516,205,32
Hempstead, Arkansas,"15,487","6,795",302,169,47
Hot Spring, Arkansas,"29,274","4,022",480,204,39
Howard, Arkansas,"10,580","2,979",216,117,25
Independence, Arkansas,"35,516",986,526,448,98
Izard, Arkansas,"13,141",246,245,62,9
Jackson, Arkansas,"14,406","3,125",236,95,24
Jefferson, Arkansas,"32,145","41,863",659,761,142
Johnson, Arkansas,"24,773",621,594,282,51
Lafayette, Arkansas,"4,588","2,789",61,43,1
Lawrence, Arkansas,"16,761",195,198,58,17
Lee, Arkansas,"4,473","5,670",113,74,8
Lincoln, Arkansas,"9,810","4,283",147,70,8
Little River, Arkansas,"10,052","2,679",373,72,14
Logan, Arkansas,"20,987",453,450,450,18
Lonoke, Arkansas,"64,650","4,581",939,974,121
Madison, Arkansas,"15,189",113,396,111,29
Marion, Arkansas,"16,340",112,331,77,16
Miller, Arkansas,"32,322","11,016",655,326,61
Mississippi, Arkansas,"29,381","15,984",404,343,27
Monroe, Arkansas,"4,564","3,242",100,48,6
Montgomery, Arkansas,"9,118",107,253,76,4
Nevada, Arkansas,"6,078","2,840",87,41,4
Newton, Arkansas,"7,940",64,234,39,2
Ouachita, Arkansas,"14,929","10,464",237,150,16
Perry, Arkansas,"10,001",256,188,34,6
Phillips, Arkansas,"7,683","13,062",147,92,4
Pike, Arkansas,"10,721",425,204,91,7
Poinsett, Arkansas,"22,263","2,009",207,91,22
Polk, Arkansas,"19,865",172,749,123,19
Pope, Arkansas,"59,361","2,288","1,372",862,91
Prairie, Arkansas,"7,371","1,076",77,12,6
Pulaski, Arkansas,"239,034","142,127","4,980","10,239",613
Randolph, Arkansas,"17,575",220,223,74,12
St. Francis, Arkansas,"12,881","14,782",339,223,39
Saline, Arkansas,"103,745","6,829","1,380","1,354",87
Scott, Arkansas,"10,265",139,427,424,5
Searcy, Arkansas,"7,866",58,241,38,1
Sebastian, Arkansas,"109,964","9,964","5,023","6,351",454
Sevier, Arkansas,"15,740",904,804,113,19
Sharp, Arkansas,"16,670",201,378,87,12
Stone, Arkansas,"12,473",77,244,68,7
Union, Arkansas,"26,942","13,642",481,365,33
Van Buren, Arkansas,"16,754",170,377,91,6
Washington, Arkansas,"191,250","8,461","5,920","6,449","5,129"
White, Arkansas,"74,149","4,019","1,146",667,96
Woodruff, Arkansas,"5,116","1,990",59,26,8
Yell, Arkansas,"20,891",510,376,394,34
Alameda, California,"879,322","223,104","38,512","477,297","25,592"
Alpine, California,853,21,278,15,4
Amador, California,"34,685","1,178","1,425",750,186
Butte, California,"200,943","6,150","9,727","12,522","1,379"
Calaveras, California,"42,590",733,"1,690","1,068",194
Colusa, California,"20,004",427,750,471,166
Contra Costa, California,"782,476","119,923","23,649","199,838","11,846"
Del Norte, California,"23,519","1,334","3,306","1,303",113
El Dorado, California,"168,935","2,697","4,983","9,572",912
Fresno, California,"758,545","64,232","40,078","109,939","4,745"
Glenn, California,"25,908",479,"1,281",941,97
Humboldt, California,"120,244","3,283","12,294","5,302",999
Imperial, California,"160,909","7,221","6,050","5,179",624
Inyo, California,"15,622",289,"2,630",400,63
Kern, California,"732,475","61,643","34,141","50,539","3,965"
Kings, California,"128,034","13,154","6,329","8,571",901
Lake, California,"58,756","1,946","4,229","1,447",407
Lassen, California,"28,438","3,316","2,064",715,272
Los Angeles, California,"7,369,564","1,009,467","230,682","1,584,903","64,935"
Madera, California,"134,822","6,983","8,953","4,582",631
Marin, California,"229,429","9,401","5,252","20,264","1,300"
Mariposa, California,"16,809",330,969,361,79
Mendocino, California,"78,927","1,508","7,447","2,425",401
Merced, California,"221,020","13,444","9,501","24,115","1,784"
Modoc, California,"8,617",204,650,149,47
Mono, California,"13,558",205,507,360,69
Monterey, California,"365,131","19,383","17,132","37,510","4,356"
Napa, California,"122,537","4,137","3,310","12,406",967
Nevada, California,"94,947","1,000","2,702","2,198",365
Orange, California,"2,387,190","80,745","55,615","643,947","22,588"
Placer, California,"326,208","8,614","8,180","30,967","2,245"
Plumas, California,"18,328",343,"1,001",299,52
Riverside, California,"1,897,242","185,026","65,777","181,041","16,841"
Sacramento, California,"1,015,518","191,300","47,072","261,119","26,779"
San Benito, California,"52,123","1,133","2,629","2,505",364
San Bernardino, California,"1,672,652","225,722","67,083","171,215","15,860"
San Diego, California,"2,554,924","215,213","72,218","443,709","34,697"
San Francisco, California,"479,348","59,203","15,045","303,605","7,087"
San Joaquin, California,"509,715","67,660","25,766","128,223","9,090"
San Luis Obispo, California,"253,281","8,017","7,407","14,087","1,267"
San Mateo, California,"498,732","29,076","12,300","216,957","16,583"
Santa Barbara, California,"384,638","13,697","15,118","30,687","2,364"
Santa Clara, California,"1,122,770","67,864","41,255","666,945","16,870"
Santa Cruz, California,"244,108","6,025","8,494","17,704","1,480"
Shasta, California,"165,464","3,302","9,744","6,713",833
Sierra, California,"2,991",48,77,25,9
Siskiyou, California,"40,719","1,053","3,378",981,285
Solano, California,"278,246","73,936","12,072","79,554","8,636"
Sonoma, California,"447,560","13,666","18,214","27,602","3,725"
Stanislaus, California,"457,904","21,986","17,616","38,451","7,355"
Sutter, California,"74,335","3,206","3,725","16,801",786
Tehama, California,"59,608",946,"3,376","1,181",252
Trinity, California,"12,583",199,"1,112",211,68
Tulare, California,"408,935","12,528","17,795","21,560","2,003"
Tuolumne, California,"50,767","1,509","2,244","1,048",227
Ventura, California,"735,384","24,416","24,476","74,694","4,872"
Yolo, California,"164,291","8,131","6,618","33,217","2,308"
Yuba, California,"62,040","4,000","4,277","6,552",739
Adams, Colorado,"414,083","20,423","15,730","21,957","1,846"
Alamosa, Colorado,"14,685",420,"1,091",323,68
Arapahoe, Colorado,"489,988","74,425","12,933","39,486","2,678"
Archuleta, Colorado,"11,557",123,516,165,14
Baca, Colorado,"3,663",57,90,21,0
Bent, Colorado,"5,130",421,240,75,8
Boulder, Colorado,"285,678","4,868","4,944","17,134",653
Broomfield, Colorado,"53,243","1,190",975,"4,287",152
Chaffee, Colorado,"17,412",363,391,184,37
Cheyenne, Colorado,"1,840",14,32,14,1
Clear Creek, Colorado,"8,817",106,177,94,20
Conejos, Colorado,"7,855",108,393,71,18
Costilla, Colorado,"3,293",79,241,45,13
Crowley, Colorado,"4,639",510,233,82,3
Custer, Colorado,"4,145",60,77,24,1
Delta, Colorado,"29,555",337,741,312,47
Denver, Colorado,"528,822","74,555","21,003","29,538","1,987"
Dolores, Colorado,"1,916",25,85,12,5
Douglas, Colorado,"280,577","5,761","3,160","15,572",759
Eagle, Colorado,"50,063",631,959,801,101
Elbert, Colorado,"22,815",290,332,320,64
El Paso, Colorado,"569,557","56,055","17,546","29,892","5,032"
Fremont, Colorado,"43,659","2,004","1,404",426,65
Garfield, Colorado,"54,683",840,"1,645",664,139
Gilpin, Colorado,"5,294",61,115,106,18
Grand, Colorado,"13,841",144,223,183,28
Gunnison, Colorado,"14,869",152,490,181,24
Hinsdale, Colorado,788,8,16,8,1
Huerfano, Colorado,"6,107",98,470,90,20
Jackson, Colorado,"1,318",7,35,5,0
Jefferson, Colorado,"515,984","9,909","11,810","19,681","1,375"
Kiowa, Colorado,"1,421",16,22,4,2
Kit Carson, Colorado,"7,766",217,138,72,23
Lake, Colorado,"7,012",88,269,56,14
La Plata, Colorado,"48,154",512,"4,319",601,107
Larimer, Colorado,"297,253","4,920","6,008","9,322",704
Las Animas, Colorado,"14,043",303,750,191,36
Lincoln, Colorado,"5,034",319,104,64,7
Logan, Colorado,"21,103","1,038",498,226,42
Mesa, Colorado,"142,556","2,114","3,907","2,114",433
Mineral, Colorado,696,5,12,1,0
Moffat, Colorado,"12,866",115,299,131,20
Montezuma, Colorado,"21,954",199,"3,576",255,40
Montrose, Colorado,"39,325",420,"1,268",466,72
Morgan, Colorado,"26,806","1,008",635,268,101
Otero, Colorado,"17,728",306,962,254,56
Ouray, Colorado,"4,467",33,60,40,6
Park, Colorado,"15,659",165,385,204,35
Phillips, Colorado,"4,270",47,58,33,9
Pitkin, Colorado,"16,740",194,175,318,32
Prowers, Colorado,"12,047",151,300,75,14
Pueblo, Colorado,"150,189","4,812","7,260","2,298",504
Rio Blanco, Colorado,"6,508",115,258,58,27
Rio Grande, Colorado,"11,439",135,490,99,13
Routt, Colorado,"22,788",199,285,281,47
Saguache, Colorado,"6,016",81,283,86,10
San Juan, Colorado,672,8,9,11,1
San Miguel, Colorado,"7,381",81,138,95,14
Sedgwick, Colorado,"2,321",24,28,36,2
Summit, Colorado,"27,325",368,413,389,63
Teller, Colorado,"22,724",256,542,336,52
Washington, Colorado,"4,681",56,38,34,10
Weld, Colorado,"251,247","4,748","7,193","5,244",676
Yuma, Colorado,"9,935",53,132,56,23
Fairfield, Connecticut,"766,716","120,705","8,620","54,105","2,293"
Hartford, Connecticut,"713,958","145,796","9,746","47,291","1,824"
Litchfield, Connecticut,"180,335","4,474","1,488","3,988",214
Middlesex, Connecticut,"151,539","10,077","1,086","5,670",256
New Haven, Connecticut,"702,882","131,649","9,273","38,224","1,440"
New London, Connecticut,"239,658","23,143","6,252","14,792",864
Tolland, Connecticut,"140,101","6,388","1,077","6,820",293
Windham, Connecticut,"111,996","4,441","1,754","2,048",232
Kent, Delaware,"119,785","45,511","2,757","5,022",487
New Castle, Delaware,"381,084","142,403","5,419","29,499",681
Sussex, Delaware,"171,243","29,153","3,992","2,985",429
District of Columbia, District of Columbia,"285,058","325,987","8,542","30,425","1,712"
Alachua, Florida,"184,700","54,501","2,252","16,511",506
Baker, Florida,"23,171","3,776",294,220,31
Bay, Florida,"147,035","21,315","2,981","5,558",509
Bradford, Florida,"21,510","5,529",253,216,43
Brevard, Florida,"472,655","64,273","6,165","17,044","1,457"
Broward, Florida,"1,222,591","534,932","13,602","77,991","5,665"
Calhoun, Florida,"12,405","2,134",336,135,41
Charlotte, Florida,"149,679","11,110","1,339","2,719",239
Citrus, Florida,"132,136","5,115","1,393","2,589",176
Clay, Florida,"166,286","22,687","2,381","8,104",621
Collier, Florida,"301,853","25,730","2,627","5,466",827
Columbia, Florida,"54,109","13,181",844,927,120
De Soto, Florida,"29,255","4,897",485,314,94
Dixie, Florida,"14,501","1,519",169,90,18
Duval, Florida,"569,580","275,113","9,270","48,053","2,478"
Escambia, Florida,"221,072","73,412","5,699","12,268","1,139"
Flagler, Florida,"84,224","12,332",879,"2,749",221
Franklin, Florida,"9,837","1,754",134,79,25
Gadsden, Florida,"20,282","25,964",432,396,104
Gilchrist, Florida,"15,696","1,041",201,111,23
Glades, Florida,"10,597","1,807",714,125,14
Gulf, Florida,"12,540","3,130",198,103,20
Hamilton, Florida,"9,441","5,155",202,154,24
Hardee, Florida,"24,680","2,277",439,418,61
Hendry, Florida,"31,043","5,317",967,459,100
Hernando, Florida,"160,257","11,122","1,674","2,909",303
Highlands, Florida,"85,590","10,767","1,151","1,771",179
Hillsborough, Florida,"996,492","240,912","14,107","58,221","3,359"
Holmes, Florida,"18,160","1,401",373,174,44
Indian River, Florida,"124,708","14,043","1,212","2,371",195
Jackson, Florida,"34,884","13,679",626,394,145
Jefferson, Florida,"8,995","5,181",129,95,21
Lafayette, Florida,"7,359","1,427",86,37,8
Lake, Florida,"262,193","34,585","3,735","7,674",683
Lee, Florida,"571,480","63,091","6,008","12,766","1,434"
Leon, Florida,"184,116","92,002","2,562","10,576",478
Levy, Florida,"35,511","4,185",562,346,55
Liberty, Florida,"6,557","1,648",139,40,9
Madison, Florida,"11,329","7,533",204,100,17
Manatee, Florida,"293,823","34,247","3,206","7,419",572
Marion, Florida,"283,605","46,700","3,746","6,290",566
Martin, Florida,"136,279","9,383","2,153","2,274",356
Miami-Dade, Florida,"2,035,557","517,767","13,622","54,065","4,949"
Monroe, Florida,"68,559","5,277",851,"1,268",160
Nassau, Florida,"68,560","5,336",735,"1,036",124
Okaloosa, Florida,"163,103","21,666","2,990","9,239",883
Okeechobee, Florida,"34,818","3,830",698,496,79
Orange, Florida,"860,183","280,893","13,086","73,905","4,601"
Osceola, Florida,"237,843","42,228","4,083","10,494","1,165"
Palm Beach, Florida,"1,057,851","261,556","13,436","42,465","3,445"
Pasco, Florida,"431,964","28,838","4,631","13,647",845
Pinellas, Florida,"786,136","108,371","8,313","35,651","1,899"
Polk, Florida,"503,090","103,220","7,222","13,709","1,305"
Putnam, Florida,"59,898","12,722",915,641,113
St. Johns, Florida,"184,988","12,873","1,571","6,076",365
St. Lucie, Florida,"219,441","60,271","3,116","6,495",719
Santa Rosa, Florida,"143,026","11,935","3,002","5,108",510
Sarasota, Florida,"359,252","21,943","2,886","7,227",517
Seminole, Florida,"359,442","56,378","4,294","20,779",970
Sumter, Florida,"91,218","9,553",839,932,144
Suwannee, Florida,"37,066","6,102",601,354,57
Taylor, Florida,"17,574","4,915",369,209,30
Union, Florida,"11,686","3,589",120,64,18
Volusia, Florida,"430,224","59,785","5,234","10,788",766
Wakulla, Florida,"25,849","4,825",434,242,58
Walton, Florida,"52,892","3,840","1,233",851,158
Washington, Florida,"20,418","4,130",552,211,50
Appling, Georgia,"14,529","3,719",120,163,38
Atkinson, Georgia,"6,555","1,540",161,68,85
Bacon, Georgia,"9,269","1,885",66,74,19
Baker, Georgia,"1,771","1,578",17,38,4
Baldwin, Georgia,"26,111","19,575",278,871,69
Banks, Georgia,"17,434",601,188,239,30
Barrow, Georgia,"59,120","8,860",770,"2,787",114
Bartow, Georgia,"88,254","11,511","1,235","1,155",170
Ben Hill, Georgia,"11,132","6,262",171,179,12
Berrien, Georgia,"16,735","2,272",144,152,13
Bibb, Georgia,"69,470","84,039","1,053","3,355",333
Bleckley, Georgia,"9,371","3,476",50,131,10
Brantley, Georgia,"17,835",713,216,62,6
Brooks, Georgia,"9,976","5,402",141,91,31
Bryan, Georgia,"26,563","5,282",332,825,92
Bulloch, Georgia,"49,750","22,038",621,"1,386",141
Burke, Georgia,"11,640","11,483",171,147,36
Butts, Georgia,"16,676","6,718",186,172,22
Calhoun, Georgia,"2,397","4,070",42,37,22
Camden, Georgia,"40,203","10,646",685,"1,267",178
Candler, Georgia,"8,157","2,892",60,97,18
Carroll, Georgia,"88,902","22,331","1,092","1,325",164
Catoosa, Georgia,"62,066","2,115",649,"1,086",87
Charlton, Georgia,"8,865","4,369",138,116,10
Chatham, Georgia,"156,117","114,521","2,495","9,062",640
Chattahoochee, Georgia,"10,051","2,728",278,511,148
Chattooga, Georgia,"22,405","3,142",224,165,87
Cherokee, Georgia,"201,503","15,630","2,324","5,337",377
Clarke, Georgia,"81,582","33,626",985,"6,247",275
Clay, Georgia,"1,231","1,870",16,17,2
Clayton, Georgia,"70,084","182,931","3,511","14,735",632
Clinch, Georgia,"4,784","1,906",87,25,4
Cobb, Georgia,"480,824","195,528","7,923","39,281","1,071"
Coffee, Georgia,"30,508","12,360",306,438,52
Colquitt, Georgia,"34,227","11,009",793,466,89
Columbia, Georgia,"104,000","22,802","1,361","6,800",392
Cook, Georgia,"12,082","4,712",115,174,17
Coweta, Georgia,"104,383","24,581","1,354","2,973",220
