County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Autauga, Alabama,"44,338","10,423",567,738,83
Baldwin, Alabama,"165,902","18,678","2,721","2,001",240
Barbour, Alabama,"14,057","12,993",253,163,53
Bibb, Alabama,"17,597","5,094",170,64,36
Blount, Alabama,"56,261","1,082",746,211,78
Bullock, Alabama,"3,013","7,468",129,38,82
Butler, Alabama,"11,429","9,026",133,219,14
Calhoun, Alabama,"91,691","25,233","1,323","1,328",247
Chambers, Alabama,"20,559","13,333",206,240,33
Cherokee, Alabama,"24,653","1,356",340,96,14
Chilton, Alabama,"38,881","4,675",399,212,107
Choctaw, Alabama,"7,694","5,889",47,35,2
Clarke, Alabama,"14,064","11,415",180,126,16
Clay, Alabama,"11,547","2,142",170,54,6
Cleburne, Alabama,"14,331",622,118,41,17
Coffee, Alabama,"40,064","9,149","1,271","1,027",301
Colbert, Alabama,"44,978","9,232",671,340,46
Conecuh, Alabama,"6,899","6,221",122,36,9
Coosa, Alabama,"7,555","3,495",123,31,26
Covington, Alabama,"32,851","5,037",474,214,13
Crenshaw, Alabama,"10,246","3,475",143,251,16
Cullman, Alabama,"78,616","1,211","1,040",470,61
Dale, Alabama,"39,210","10,352",923,889,158
Dallas, Alabama,"12,848","30,182",187,236,38
De Kalb, Alabama,"67,621","1,651","2,684",390,625
Elmore, Alabama,"62,103","17,319",829,826,147
Escambia, Alabama,"24,485","12,541","1,593",179,40
Etowah, Alabama,"86,597","16,679","1,265",913,366
Fayette, Alabama,"14,987","2,065",123,66,5
Franklin, Alabama,"29,869","1,490",668,129,51
Geneva, Alabama,"23,842","2,813",415,129,24
Greene, Alabama,"1,638","7,259",35,21,1
Hale, Alabama,"6,278","9,072",58,57,5
Henry, Alabama,"12,336","5,032",124,115,7
Houston, Alabama,"74,076","27,530","1,153","1,180",166
Jackson, Alabama,"50,255","2,147","1,780",325,79
Jefferson, Alabama,"365,582","282,611","5,060","11,283",629
Lamar, Alabama,"12,637","1,707",98,33,6
Lauderdale, Alabama,"81,952","10,049",924,898,83
Lawrence, Alabama,"28,044","4,153","3,175",141,23
Lee, Alabama,"105,805","34,044","1,190","4,745",244
Limestone, Alabama,"72,261","11,903","1,447","1,335",191
Lowndes, Alabama,"2,891","8,195",54,41,3
Macon, Alabama,"3,723","17,470",143,126,23
Madison, Alabama,"244,581","86,029","6,065","10,812",730
Marengo, Alabama,"9,883","10,751",101,71,41
Marion, Alabama,"29,280","1,384",272,104,24
Marshall, Alabama,"89,982","2,498","1,840",768,294
Mobile, Alabama,"256,170","146,846","6,440","9,151",490
Monroe, Alabama,"12,960","9,614",432,122,19
Montgomery, Alabama,"96,109","130,488","1,765","5,953",415
Morgan, Alabama,"102,884","15,593","2,414","1,053",210
Perry, Alabama,"3,253","7,227",41,49,8
Pickens, Alabama,"11,187","8,107",91,53,71
Pike, Alabama,"19,896","12,285",451,753,65
Randolph, Alabama,"18,096","4,693",212,105,18
Russell, Alabama,"31,107","23,631",692,583,223
St. Clair, Alabama,"75,906","7,841",817,753,103
Shelby, Alabama,"170,798","23,280","1,603","4,786",244
Sumter, Alabama,"3,386","10,067",42,53,8
Talladega, Alabama,"54,949","26,623",788,486,62
Tallapoosa, Alabama,"29,935","11,329",337,283,45
Tuscaloosa, Alabama,"134,173","60,046","1,343","3,125",260
Walker, Alabama,"62,015","4,355",699,303,93
Washington, Alabama,"11,611","4,388","1,480",50,20
Wilcox, Alabama,"3,124","8,361",42,18,5
Winston, Alabama,"23,804",267,376,116,59
Aleutians East, Alaska,881,254,865,"1,271",31
Aleutians West, Alaska,"2,476",426,990,"1,755",173
Anchorage, Alaska,"219,629","23,693","37,497","31,907","8,509"
Bethel, Alaska,"2,683",181,"14,999",246,72
