County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Autauga, Alabama,"44,012","10,132",554,692,79
Baldwin, Alabama,"162,822","18,308","2,641","1,878",240
Barbour, Alabama,"14,068","13,029",258,141,53
Bibb, Alabama,"17,691","5,131",160,56,39
Blount, Alabama,"55,941","1,015",728,203,88
Bullock, Alabama,"2,961","7,780",122,45,82
Butler, Alabama,"11,567","9,181",121,211,14
Calhoun, Alabama,"92,219","25,389","1,328","1,292",239
Chambers, Alabama,"20,533","13,449",193,244,31
Cherokee, Alabama,"24,543","1,341",326,98,19
Chilton, Alabama,"38,881","4,570",368,212,104
Choctaw, Alabama,"7,812","6,030",40,27,3
Clarke, Alabama,"14,226","11,440",162,108,15
Clay, Alabama,"11,738","2,176",138,54,10
Cleburne, Alabama,"14,369",600,94,41,16
Coffee, Alabama,"39,939","8,991","1,234",960,304
Colbert, Alabama,"45,067","9,254",642,324,41
Conecuh, Alabama,"6,932","6,277",104,38,5
Coosa, Alabama,"7,866","3,652",104,29,23
Covington, Alabama,"32,627","5,014",440,194,13
Crenshaw, Alabama,"10,339","3,372",122,220,15
Cullman, Alabama,"78,636","1,162","1,034",414,56
Dale, Alabama,"39,461","10,412",939,875,149
Dallas, Alabama,"13,074","30,660",176,198,29
De Kalb, Alabama,"67,344","1,578","2,662",361,675
Elmore, Alabama,"62,323","16,620",769,779,132
Escambia, Alabama,"24,597","12,515","1,572",154,37
Etowah, Alabama,"86,790","16,604","1,273",886,381
Fayette, Alabama,"15,157","2,075",120,57,4
Franklin, Alabama,"29,857","1,484",691,119,45
Geneva, Alabama,"23,874","2,753",421,111,24
Greene, Alabama,"1,638","7,342",34,15,3
Hale, Alabama,"6,385","9,313",59,45,4
Henry, Alabama,"12,201","5,049",125,77,10
Houston, Alabama,"73,788","27,232","1,144","1,137",160
Jackson, Alabama,"50,167","2,158","1,792",302,89
Jefferson, Alabama,"366,797","281,855","5,063","11,010",675
Lamar, Alabama,"12,806","1,730",98,28,8
Lauderdale, Alabama,"82,170","9,948",889,886,83
Lawrence, Alabama,"28,264","4,169","3,179",118,26
Lee, Alabama,"103,841","33,240","1,181","4,431",251
Limestone, Alabama,"70,558","11,305","1,420","1,229",188
Lowndes, Alabama,"2,946","8,301",57,31,1
Macon, Alabama,"3,592","17,916",141,128,16
Madison, Alabama,"241,813","85,073","6,040","10,696",772
Marengo, Alabama,"9,961","10,910",100,70,45
Marion, Alabama,"29,413","1,329",264,88,24
Marshall, Alabama,"89,470","2,318","1,874",692,284
Mobile, Alabama,"256,746","146,589","6,447","8,953",488
Monroe, Alabama,"13,023","9,750",421,116,18
Montgomery, Alabama,"96,607","128,222","1,787","5,795",459
Morgan, Alabama,"102,704","15,365","2,428","1,006",217
Perry, Alabama,"3,220","7,269",40,39,7
Pickens, Alabama,"11,340","8,300",89,58,78
Pike, Alabama,"19,824","12,354",427,786,71
Randolph, Alabama,"18,134","4,743",207,99,20
Russell, Alabama,"30,082","22,924",638,498,188
St. Clair, Alabama,"75,569","7,653",825,715,95
Shelby, Alabama,"169,741","22,163","1,586","4,575",233
Sumter, Alabama,"3,398","10,312",39,39,7
Talladega, Alabama,"55,171","26,664",766,509,55
Tallapoosa, Alabama,"29,932","11,365",342,271,32
Tuscaloosa, Alabama,"133,523","59,009","1,361","3,012",233
Walker, Alabama,"62,421","4,321",695,306,77
Washington, Alabama,"11,740","4,460","1,542",56,21
Wilcox, Alabama,"3,163","8,417",37,14,2
Winston, Alabama,"23,953",227,375,106,55
Aleutians East, Alaska,862,244,939,"1,205",27
Aleutians West, Alaska,"2,483",418,998,"1,757",155
Anchorage, Alaska,"218,649","23,276","37,244","30,764","8,223"
Bethel, Alaska,"2,543",147,"14,761",263,80
Bristol Bay, Alaska,644,18,466,38,10
Denali, Alaska,"1,725",23,116,37,5
Dillingham, Alaska,"1,291",47,"3,857",86,18
Fairbanks North Star, Alaska,"82,829","6,032","11,039","4,323",795
Haines, Alaska,"2,240",39,341,33,2
Hoonah-Angoon, Alaska,"1,231",42,"1,065",35,5
Juneau, Alaska,"24,707",604,"6,113","2,809",417
Kenai Peninsula, Alaska,"50,136",577,"6,572","1,163",279
Ketchikan Gateway, Alaska,"10,431",179,"2,947","1,183",92
Kodiak Island, Alaska,"8,783",214,"2,600","2,926",177
Lake and Peninsula, Alaska,537,34,"1,199",27,10
Matanuska-Susitna, Alaska,"82,133","1,695","9,279","2,281",648
Nome, Alaska,"2,124",53,"7,745",174,39
North Slope, Alaska,"3,609",179,"5,519",540,154
Northwest Arctic, Alaska,"1,275",84,"6,517",92,34
Wrangell-Petersburg, Alaska,"3,019",62,891,160,31
Prince of Wales-Outer Ketchikan, Alaska,"3,253",69,"2,617",98,54
Sitka, Alaska,"6,637",139,"2,221",714,89
Skagway, Alaska,918,6,62,13,5
Southeast Fairbanks, Alaska,"6,028",126,"1,071",114,47
Valdez-Cordova, Alaska,"7,829",123,"1,871",443,81
Wade Hampton, Alaska,356,30,"7,191",42,9
Wrangell, Alaska,"1,920",46,559,59,8
Yakutat, Alaska,366,22,310,49,14
Yukon-Koyukuk, Alaska,"1,539",50,"4,262",48,12
Apache, Arizona,"18,541",674,"53,271",399,96
Cochise, Arizona,"119,757","7,182","3,772","4,174",918
Coconino, Arizona,"92,239","2,639","39,099","3,062",582
Gila, Arizona,"44,717",442,"8,631",389,91
Graham, Arizona,"30,303",901,"5,724",327,132
Greenlee, Arizona,"7,902",153,346,81,20
La Paz, Arizona,"16,673",302,"3,819",201,45
Maricopa, Arizona,"3,355,642","244,838","130,186","176,514","17,665"
Mohave, Arizona,"189,648","2,979","7,728","3,312",786
Navajo, Arizona,"58,326","1,605","48,618",922,237
Pima, Arizona,"870,660","47,419","51,277","36,898","3,821"
Pinal, Arizona,"330,548","23,054","30,350","10,206","2,672"
Santa Cruz, Arizona,"46,111",338,651,351,52
Yavapai, Arizona,"202,150","2,323","6,630","2,875",581
Yuma, Arizona,"184,218","5,795","5,719","4,119",856
Arkansas, Arkansas,"14,158","4,822",149,122,5
Ashley, Arkansas,"15,959","5,762",238,68,25
Baxter, Arkansas,"41,025",148,678,248,25
Benton, Arkansas,"207,390","4,428","7,217","7,818",968
Boone, Arkansas,"36,333",189,742,229,37
Bradley, Arkansas,"8,059","3,268",234,61,5
Calhoun, Arkansas,"4,111","1,203",51,23,3
Carroll, Arkansas,"26,872",224,653,224,92
Chicot, Arkansas,"5,258","6,463",73,72,7
Clark, Arkansas,"17,225","5,584",242,191,21
Clay, Arkansas,"15,918",110,156,47,7
Cleburne, Arkansas,"25,676",161,409,94,15
Cleveland, Arkansas,"7,590","1,093",44,20,4
Columbia, Arkansas,"15,245","9,317",173,208,19
Conway, Arkansas,"18,579","2,550",376,130,24
Craighead, Arkansas,"82,162","13,627","1,036","1,323",98
Crawford, Arkansas,"58,643","1,180","2,546","1,143",68
Crittenden, Arkansas,"24,198","26,488",349,385,51
Cross, Arkansas,"13,727","4,059",112,107,10
Dallas, Arkansas,"4,627","3,425",74,26,5
Desha, Arkansas,"6,585","6,325",79,55,18
